DateTime,AddedIPs,RemovedIPs
1584609121,2,0
1584609721,0,10
1584610922,2,2
1584611522,6,0
1584612121,2,6
1584613321,6,4
1584614521,2,5
1584615722,4,4
1584616921,2,5
1584618121,2,7
1584619321,4,10
1584619921,3,0
1584620521,2,2
1584621121,8,0
1584621721,2,1
1584622321,2,11
1584623522,6,0
1584624121,3,2
1584624722,6,0
1584625321,4,0
1584626521,2,1
1584627121,6,0
1584628321,0,13
1584628921,5,5
1584630121,9,7
1584631322,3,2
1584631921,2,2
1584632521,2,2
1584633722,2,3
1584634922,4,2
1584635521,3,0
1584637322,2,5
1584637921,3,2
1584639121,2,0
1584639721,1,5
1584640922,4,9
1584642122,3,1
1584643321,4,5
1584643921,2,0
1584645121,8,3
1584645721,2,11
1584646321,1,6
1584646921,3,0
1584648121,3,10
1584649321,3,3
1584649921,4,0
1584650521,4,0
1584651722,1,6
1584652322,5,6
1584653521,8,4
1584654121,7,5
1584655321,2,11
1584655921,1,17
1584657122,1,5
1584658321,1,3
1584658921,4,2
1584660122,6,2
1584661322,4,0
1584661921,2,2
1584662521,7,8
1584663721,4,2
1584664322,9,6
1584664922,5,2
1584666121,10,8
1584667321,5,1
1584668521,4,1
1584669121,2,5
1584669721,5,4
1584670921,6,8
1584671521,1,10
1584672121,5,0
1584673321,7,8
1584673921,3,0
1584674522,4,0
1584675122,4,7
1584675721,2,0
1584676321,5,10
1584677521,1,0
1584678121,4,7
1584679322,2,11
1584679921,4,0
1584680521,8,7
1584681721,6,0
1584682321,0,5
1584682921,5,2
1584684121,10,0
1584685322,9,2
1584685921,2,7
1584686521,7,2
1584687721,2,2
1584688921,3,3
1584690121,16,2
1584691321,3,6
1584691921,8,0
1584692521,0,7
1584694321,7,25
1584694921,8,3
1584696121,3,6
1584696721,3,2
1584697921,2,0
1584698521,2,8
1584699121,5,5
1584699722,3,0
1584700321,8,2
1584702121,6,7
1584703922,5,1
1584704521,2,3
1584706321,3,17
1584706921,7,4
1584707521,5,0
1584708121,5,2
1584708721,4,4
1584709321,5,3
1584710522,2,5
1584711121,4,1
1584711721,3,2
1584712321,3,0
1584712922,3,5
1584714121,11,0
1584714721,6,1
1584715321,6,7
1584716522,1,13
1584717721,8,5
1584718921,5,8
1584720121,2,3
1584721922,3,5
1584722521,6,0
1584723722,4,6
1584724321,5,7
1584724921,4,0
1584725521,3,0
1584726121,4,0
1584726721,2,4
1584727321,3,10
1584728521,5,0
1584729121,5,0
1584729721,8,0
1584730321,3,12
1584731522,6,11
1584732121,2,0
1584732721,1,8
1584733921,11,0
1584734521,4,10
1584735721,5,0
1584736321,6,0
1584736921,4,4
1584738121,3,11
1584739322,3,5
1584739921,9,12
1584741121,0,3
1584741721,3,0
1584742321,7,2
1584742921,8,4
1584743522,3,6
1584744121,4,0
1584745321,4,0
1584746522,8,13
1584747122,4,3
1584747722,3,0
1584748922,1,6
1584749521,7,0
1584750121,2,0
1584750722,6,5
1584751921,4,0
1584752521,2,0
1584753721,6,1
1584754322,2,6
1584754922,0,5
1584756121,4,2
1584757321,2,8
1584757921,4,6
1584759121,6,5
1584759721,9,0
1584760921,2,4
1584761522,2,0
1584762122,6,6
1584763321,2,5
1584764521,3,0
1584765122,5,4
1584765721,5,0
1584766322,10,7
1584768121,6,3
1584768721,4,0
1584769321,4,5
1584770521,4,3
1584771122,1,5
1584771721,5,4
1584772921,5,2
1584774122,4,5
1584774722,12,2
1584775321,1,0
1584775921,7,8
1584777121,2,0
1584777721,3,26
1584778921,4,10
1584779521,5,0
1584780121,1,0
1584780721,5,3
1584781321,3,0
1584781921,6,4
1584782521,4,3
1584783122,4,0
1584783721,5,7
1584784321,4,0
1584784922,3,3
1584785521,2,0
1584786122,4,1
1584786721,2,0
1584787321,4,1
1584787921,4,3
1584788522,1,4
1584789121,3,0
1584789722,5,3
1584790921,2,6
1584791521,6,0
1584792121,2,3
1584792722,8,0
1584793921,19,22
1584794521,3,0
1584795721,4,3
1584796922,3,3
1584798121,3,12
1584798722,4,0
1584799322,2,2
1584800522,10,7
1584801121,7,0
1584801721,4,9
1584802921,3,2
1584804121,3,2
1584804721,8,0
1584805321,7,1
1584805921,5,0
1584806521,2,0
1584807722,6,2
1584808921,5,3
1584810121,5,4
1584810721,2,2
1584811321,3,0
1584812521,1,15
1584813122,4,0
1584813721,1,0
1584814921,2,5
1584816121,1,6
1584816721,3,7
1584817321,2,5
1584817922,0,2
1584819121,8,2
1584820321,1,2
1584820921,3,0
1584822122,7,9
1584822721,1,0
1584823322,5,4
1584823921,4,0
1584824521,3,21
1584825721,10,14
1584826922,5,0
1584828121,5,6
1584828721,5,12
1584829321,7,0
1584829921,1,3
1584830521,7,3
1584831721,10,6
1584832921,2,6
1584833521,9,6
1584834121,4,2
1584835321,5,0
1584835921,5,7
1584836521,7,1
1584837121,4,3
1584837721,4,4
1584838921,4,5
1584840121,2,6
1584840721,4,0
1584841321,6,0
1584841921,10,12
1584842521,5,6
1584843121,14,1
1584843722,7,5
1584844921,2,0
1584845521,3,1
1584846121,5,2
1584846721,8,0
1584847321,14,4
1584847921,5,0
1584848521,14,0
1584849721,4,4
1584850321,28,0
1584851521,6,8
1584852122,9,1
1584852721,6,0
1584853321,5,0
1584854521,9,0
1584855721,1,16
1584856921,16,2
1584857521,5,6
1584858721,6,10
1584859321,8,3
1584860521,8,0
1584861721,5,3
1584862921,3,5
1584864121,20,5
1584865321,10,0
1584866521,2,4
1584867121,1,0
1584867721,1,0
1584868921,3,4
1584869521,3,0
1584870121,1,0
1584871321,11,7
1584872522,2,10
1584873121,6,1
1584873722,7,9
1584874322,5,0
1584874921,7,3
1584875522,10,0
1584876721,10,3
1584877321,3,7
1584877921,4,6
1584879121,16,4
1584879721,22,0
1584880321,7,6
1584880921,17,0
1584882122,3,21
1584883321,7,2
1584883921,4,1
1584885121,7,6
1584885721,6,0
1584886921,13,1
1584888121,1,9
1584888721,5,0
1584889321,4,0
1584890521,3,9
1584891721,6,6
1584892921,2,1
1584893521,10,0
1584894122,9,6
1584895321,2,13
1584896522,46,11
1584897122,2,0
1584897722,1,3
1584898921,16,5
1584900121,5,5
1584900721,8,5
1584901321,10,2
1584902521,3,7
1584903721,5,5
1584904321,4,0
1584904921,5,5
1584906121,6,0
1584906721,6,4
1584907921,2,4
1584909121,11,1
1584910321,3,9
1584910921,7,5
1584911522,6,0
1584912122,9,6
1584913321,4,8
1584914521,7,9
1584915721,6,5
1584916921,8,5
1584917521,20,0
1584918722,10,1
1584919321,7,1
1584920521,4,3
1584921721,6,4
1584922921,9,7
1584924121,6,6
1584925322,12,13
1584926521,4,0
1584927721,8,13
1584928921,13,5
1584929521,3,4
1584930721,2,12
1584931321,5,0
1584932521,10,3
1584933721,8,5
1584934321,5,5
1584934921,4,12
1584936121,10,3
1584937322,10,5
1584938522,7,12
1584939721,3,6
1584940921,5,2
1584942121,2,3
1584942721,13,9
1584943322,14,2
1584944521,10,19
1584945721,10,6
1584946921,5,0
1584948121,17,7
1584949322,2,5
1584949921,5,0
1584950521,3,3
1584951722,5,14
1584952921,6,9
1584954122,8,4
1584955321,7,0
1584955922,4,3
1584956521,3,7
1584957721,5,6
1584958321,4,0
1584958922,13,6
1584960122,15,20
1584961321,6,9
1584962522,15,5
1584963121,3,1
1584963721,6,2
1584964922,15,4
1584966121,4,6
1584967321,6,11
1584968521,5,0
1584969721,4,12
1584970321,11,0
1584970922,9,0
1584972122,8,6
1584972721,3,6
1584973321,6,1
1584974521,7,2
1584975121,15,3
1584975721,11,11
1584976921,6,3
1584978122,4,4
1584978721,3,7
1584979321,10,0
1584980521,10,5
1584981721,3,1
1584982921,3,8
1584984122,20,25
1584984721,3,11
1584985321,7,0
1584986521,8,11
1584987122,7,1
1584987721,7,0
1584988922,3,10
1584990121,12,10
1584990721,6,0
1584991321,6,0
1584992522,4,9
1584993122,10,5
1584994321,9,9
1584994921,1,3
1584995522,9,0
1584996121,22,6
1584996722,2,7
1584997321,6,0
1584998521,10,10
1584999722,8,0
1585000321,5,6
1585002121,8,1
1585002721,16,0
1585003321,15,10
1585003921,4,0
1585004522,5,8
1585005721,10,20
1585006321,7,4
1585006921,5,4
1585007522,5,0
1585008121,8,0
1585008721,11,23
1585009921,3,4
1585010521,12,0
1585011721,9,7
1585012921,6,3
1585013521,2,1
1585014721,5,3
1585015321,6,0
1585015921,7,2
1585016522,8,5
1585017722,15,5
1585018921,8,4
1585020121,1,18
1585020721,6,0
1585021321,10,0
1585021922,4,16
1585023721,8,0
1585024921,8,21
1585026121,14,10
1585027321,5,3
1585028521,8,0
1585029722,3,8
1585030322,6,0
1585030922,5,5
1585031522,2,14
1585032121,12,1
1585033321,7,15
1585034521,10,5
1585035722,15,6
1585036921,9,8
1585038122,3,15
1585039322,15,18
1585040521,11,6
1585041721,4,23
1585042922,7,6
1585043521,4,0
1585044122,9,4
1585045321,11,6
1585045922,3,0
1585046522,10,1
1585047721,3,4
1585048921,7,0
