DateTime,AddedIPs,RemovedIPs
1584642721,97,97
1584643321,65,65
1584643921,57,57
1584644521,50,50
1584645721,74,74
1584646921,85,85
1584647521,60,60
1584649321,95,95
1584649921,33,33
1584650521,28,28
1584651722,36,36
1584652921,84,84
1584654121,56,56
1584655321,89,89
1584655921,16,16
1584657122,62,62
1584657721,61,61
1584658921,30,30
1584660122,88,88
1584661322,82,82
1584662521,44,44
1584663121,23,23
1584663721,16,16
1584664321,52,52
1584664922,48,48
1584666121,46,46
1584667321,42,42
1584668521,70,70
1584669121,67,67
1584669721,21,21
1584670921,40,40
1584671521,15,15
1584672121,15,15
1584672721,8,8
1584673921,59,59
1584674522,43,43
1584675122,31,31
1584675721,29,29
1584676921,95,95
1584677521,24,24
1584678121,35,35
1584679322,73,73
1584680521,46,46
1584681121,56,56
1584681721,56,56
1584682921,92,92
1584683521,31,31
1584684721,74,74
1584685322,35,35
1584685921,43,43
1584687122,35,35
1584687721,64,64
1584688921,70,70
1584689521,56,56
1584691321,91,91
1584692521,64,64
1584693121,51,51
1584694321,85,85
1584694921,29,29
1584695522,26,26
1584696121,26,26
1584696721,39,39
1584697321,45,45
1584697921,19,19
1584698521,20,20
1584699121,8,8
1584699722,28,28
1584700921,33,33
1584701521,32,32
1584702721,23,23
1584703321,44,44
1584705121,85,85
1584705722,35,35
1584707521,69,69
1584708121,29,29
1584708721,7,7
1584709921,35,35
1584710521,21,21
1584711121,6,6
1584711721,25,25
1584712321,9,9
1584713521,33,33
1584714721,23,23
1584715321,24,24
1584715921,12,12
1584716522,44,44
1584717721,54,54
1584718921,30,30
1584719521,27,27
1584720121,23,23
1584720721,21,21
1584721922,26,26
1584722521,32,32
1584723121,28,28
1584724321,65,65
1584724921,22,22
1584725521,29,29
1584726121,51,51
1584727321,52,52
1584727922,18,18
1584728521,24,24
1584729721,48,48
1584730321,18,18
1584730922,1,1
1584732121,40,40
1584732721,34,34
1584733321,47,47
1584733921,23,23
1584734521,16,16
1584735721,54,54
1584736321,29,29
1584737521,48,48
1584738121,12,12
1584739322,47,47
1584740521,67,67
1584741721,82,82
1584742321,21,21
1584743522,48,48
1584744121,50,50
